state,bill_name,bill_summary,status,bill_url,lastAction_date,lastAction_main
MD,HB43,Establishing the Legislative and Congressional Redistricting and Apportionment Commission as an independent unit of State government; providing for the intent of the General Assembly regarding legislative and congressional redistricting; requiring th...,Intro,https://legiscan.com/MD/bill/HB43/2019,2019-03-14,Unfavorable Report by House Rules and Executive Nominations
MD,SB90,Establishing the Legislative and Congressional Redistricting and Apportionment Commission as an independent unit of State government; providing for the intent of the General Assembly regarding legislative and congressional redistricting; requiring th...,Intro,https://legiscan.com/MD/bill/SB90/2019,2019-01-23,To Senate Education Health and Environmental Affairs Committee
WV,HB2445,The purpose of this bill is to provide for the Redistricting Office of the Joint Committee on Government and Finance to propose redistricting plans during census years. The main task of the Redistricting Office is to propose a plan to the Legislature...,Intro,https://legiscan.com/WV/bill/HB2445/2019,2019-01-16,To House Judiciary Committee
US,HB130,"John Tanner Fairness and Independence in Redistricting Act This bill establishes requirements regarding congressional redistricting, including that redistricting plans must be developed by an independent redistricting commission. A state that has bee...",Intro,https://legiscan.com/US/bill/HB130/2019,2019-01-03,"To House Subcommittee on the Constitution, Civil Rights, and Civil Justice Committee"
US,HB124,"John Tanner Fairness and Independence in Redistricting Act This bill establishes requirements regarding congressional redistricting, including that redistricting plans must be developed by an independent redistricting commission. A state that has bee...",Intro,https://legiscan.com/US/bill/HB124/2019,2019-01-03,"To House Subcommittee on the Constitution, Civil Rights, and Civil Justice Committee"
NE,LB253,Adopt the Redistricting Act,Intro,https://legiscan.com/NE/bill/LB253/2019,2019-02-06,To Legislature Executive Board Committee
PA,HB23,An Act establishing the Independent Redistricting Commission; and providing for congressional and legislative redistricting.,Intro,https://legiscan.com/PA/bill/HB23/2019,2019-04-11,To House State Government Committee
WV,SB118,Creating Independent Redistricting Commission,Intro,https://legiscan.com/WV/bill/SB118/2019,2019-01-09,To Senate Judiciary Committee
IN,SB0037,"Redistricting commission. Establishes a redistricting commission (commission) to create, hold hearings on, take public comment about, and recommend plans to redraw general assembly districts and congressional districts. Requires the legislative servi...",Intro,https://legiscan.com/IN/bill/SB0037/2019,2019-01-31,To Senate Elections Committee
IN,HB1011,"Redistricting commission. Establishes a redistricting commission (commission) to create, hold hearings on, take public comment about, and recommend plans to redraw general assembly districts and congressional districts. Requires the legislative servi...",Intro,https://legiscan.com/IN/bill/HB1011/2019,2019-01-22,To House Elections and Apportionment Committee
MN,SF2255,Constitutional amendment establishing a redistricting commission and principles,Intro,https://legiscan.com/MN/bill/SF2255/2019,2019-03-14,To Senate Rules and Administration Committee
US,HB131,Redistricting Transparency Act of 2019,Intro,https://legiscan.com/US/bill/HB131/2019,2019-01-03,"To House Subcommittee on the Constitution, Civil Rights, and Civil Justice Committee"
IN,HB1317,"Redistricting commission. Establishes a redistricting commission (commission) to create, hold hearings on, take public comment about, and recommend plans to redraw general assembly districts and congressional districts. Requires the legislative servi...",Intro,https://legiscan.com/IN/bill/HB1317/2019,2019-01-14,To House Elections and Apportionment Committee
IN,SB0091,"Redistricting commission. Establishes a redistricting commission (commission) to create, hold hearings on, take public comment about, and recommend plans to redraw general assembly districts and congressional districts. Provides for appointment of fo...",Intro,https://legiscan.com/IN/bill/SB0091/2019,2019-01-28,To Senate Elections Committee
KY,HB482,Create new sections of KRS Chapter 5 to establish the Legislative Advisory Reapportionment and Redistricting Commission; require each of the eleven members to be appointed with at least one member appointed from each of Kentucky's congressional distr...,Intro,https://legiscan.com/KY/bill/HB482/2019,2019-02-21,"To House Elections, Const. Amendments & Intergovernmental Affairs Committee"
IN,HB1386,"Redistricting. Establishes a redistricting commission (commission) to create, hold hearings on, take public comment about, and recommend plans to redraw general assembly districts and congressional districts. Requires the legislative services agency ...",Intro,https://legiscan.com/IN/bill/HB1386/2019,2019-01-14,To House Elections and Apportionment Committee
TN,SB0935,"As introduced, enacts the ""Tennessee Congressional Redistricting Commission Act,"" which establishes a five-member congressional redistricting commission beginning in January 2021. - Amends TCA Title 2, Chapter 16; Title 3, Chapter 1; Title 4, Chapter...",Intro,https://legiscan.com/TN/bill/SB0935/2019,2019-02-11,To Senate Government Operations Committee
TN,HB1409,"As introduced, enacts the ""Tennessee Congressional Redistricting Commission Act,"" which establishes a five-member congressional redistricting commission beginning in January 2021. - Amends TCA Title 2, Chapter 16; Title 3, Chapter 1; Title 4, Chapter...",Intro,https://legiscan.com/TN/bill/HB1409/2019,2019-02-13,Assigned to s/c Public Service & Employees Subcommittee
LA,HB504,Creates and provides for the Reapportionment Transparency Act,Intro,https://legiscan.com/LA/bill/HB504/2019,2019-04-08,To House House and Governmental Affairs Committee
NM,SB416,Redistricting Act,Intro,https://legiscan.com/NM/bill/SB416/2019,2019-02-27,Action Postponed Indefinitely
PA,HB402,An Act providing for congressional and legislative redistricting.,Intro,https://legiscan.com/PA/bill/HB402/2019,2019-02-06,To House State Government Committee
CA,SB139,Independent redistricting commissions.,Intro,https://legiscan.com/CA/bill/SB139/2019,2019-04-11,To Senate Governance and Finance Committee
AR,SB671,To Require Apportionment Of Wards Be Conducted By The County Boards Of Election Commissioners; And To Amend The Law Concerning Designation Of Wards In Municipalities.,Intro,https://legiscan.com/AR/bill/SB671/2019,2019-04-08,"Recommended for study in the Interim Committee on CITY, COUNTY & LOCAL AFFAIRS COMMITTEE - SENATE"
SC,S0230,"Entitle The Chapter ""south Carolina Redistricting Commission"", To Create An Independent Redistricting Commission, To Provide That Members Of The Commission Will Be Appointed Every Ten Years After The Following Year Of The Decennial United States Cens...",Intro,https://legiscan.com/SC/bill/S0230/2019,2019-01-08,To Senate Judiciary Committee
SC,H3054,"Entitle The Chapter ""south Carolina Redistricting Commission"", To Create An Independent Redistricting Commission, To Provide That Members Of The Commission Will Be Appointed Every Ten Years After The Following Year Of The Decennial United States Cens...",Intro,https://legiscan.com/SC/bill/H3054/2019,2019-01-31,To House Judiciary Committee
VA,SB1243,Elections; date of June primary election. Changes the date of the primary election held in June from the second Tuesday in June to the third Tuesday in June. The bill also changes candidate filing deadlines to reflect the change of date.,Engross,https://legiscan.com/VA/bill/SB1243/2019,2019-01-21,Read third time and defeated by Senate (18-Y 22-N)
OR,HJR24,"Proposes amendment to Oregon Constitution establishing Citizens Redistricting Commission to adopt redistricting maps for Senate, House of Representatives and United States Congress. Refers proposed amendment to people for their approval or rejection ...",Intro,https://legiscan.com/OR/bill/HJR24/2019,2019-03-11,To House Rules Committee
MD,SB91,Proposing an amendment to the Maryland Constitution to require single-member delegate districts; altering certain standards for the drawing of legislative districts; proposing a new article to the Maryland Constitution to establish standards for the ...,Intro,https://legiscan.com/MD/bill/SB91/2019,2019-01-23,To Senate Education Health and Environmental Affairs Committee
MD,HB44,Proposing an amendment to the Maryland Constitution to require single-member delegate districts; altering certain standards for the drawing of legislative districts; proposing a new article to the Maryland Constitution to establish standards for the ...,Intro,https://legiscan.com/MD/bill/HB44/2019,2019-03-14,Unfavorable Report by House Rules and Executive Nominations
AZ,HCR2002,Independent redistricting commission; nine members,Intro,https://legiscan.com/AZ/bill/HCR2002/2019,2019-02-06,House read second time
PA,HB22,"A Joint Resolution proposing integrated amendments to the Constitution of the Commonwealth of Pennsylvania, deleting provisions relating to the Legislative Reapportionment Commission; and providing for the Independent Redistricting Commission.",Intro,https://legiscan.com/PA/bill/HB22/2019,2019-04-11,To House State Government Committee
CA,AB1724,Elections: general law city and county redistricting.,Intro,https://legiscan.com/CA/bill/AB1724/2019,2019-04-10,To Assembly Elections and Redistricting Committee
AZ,HCR2004,Legislature; sixty house districts,N/A,https://legiscan.com/AZ/bill/HCR2004/2019,2019-01-10,Prefile
NC,H648,NC FAIR State & Congressional Districts Act,Intro,https://legiscan.com/NC/bill/H648/2019,2019-04-10,To House Redistricting Committee
MN,HF2421,"Redistricting commission established, redistricting principles established, and constitutional amendment proposed.",Intro,https://legiscan.com/MN/bill/HF2421/2019,2019-03-13,To House Government Operations Committee
NH,CACR9,Relating to redistricting.  Providing that an independent redistricting commission shall be established to draw boundaries for state and federal offices.,Intro,https://legiscan.com/NH/bill/CACR9/2019,2019-02-20,Retained in Committee
KS,HCR5006,Revising article 10 of the Kansas constitution; establishing a redistricting commission.,Intro,https://legiscan.com/KS/bill/HCR5006/2019,2019-02-07,To House Elections Committee
TX,HJR59,Proposing a constitutional amendment establishing the Texas Redistricting Commission to redistrict the Texas Legislature and Texas congressional districts and revising procedures for redistricting.,Intro,https://legiscan.com/TX/bill/HJR59/2019,2019-04-04,To House Redistricting Committee
MO,SB213,Enacts new provisions relating to the nonpartisan state demographer,Intro,https://legiscan.com/MO/bill/SB213/2019,2019-04-15,To House General Laws Committee
MN,SF2575,Redistricting commission to recommend boundaries of legislative and congressional districts appointment requirement; districting principles for legislative and congressional plans establishment,Intro,https://legiscan.com/MN/bill/SF2575/2019,2019-03-25,To Senate State Government Finance and Policy and Elections Committee
IL,HJRCA0010,Proposes to amend the Legislature Article of the Illinois Constitution. Creates the Independent Redistricting Commission to adopt and file with the Secretary of State a redistricting plan for Legislative and Representative Districts. Provides for the...,Intro,https://legiscan.com/IL/bill/HJRCA0010/2019,2019-01-22,To House Rules Committee
TX,HJR140,"Proposing a constitutional amendment providing for the reapportionment of congressional districts and the creation, function, and duties of the Texas Congressional Redistricting Commission.",Intro,https://legiscan.com/TX/bill/HJR140/2019,2019-04-04,To House Redistricting Committee
MO,HB973,Enacts new provisions relating to the nonpartisan state demographer,Engross,https://legiscan.com/MO/bill/HB973/2019,2019-04-09,"Second read and referred: Rules, Joint Rules, Resolutions & Ethics(S)"
MN,HF1605,"Legislative and congressional district boundaries commission appointment required, legislative and congressional plan districting principles established, Legislative Coordinating Commission duties assigned, and secretary of state duties assigned.",Intro,https://legiscan.com/MN/bill/HF1605/2019,2019-04-01,To House Subcommittee on Elections Committee
IL,HJRCA0015,Proposes to amend the Legislature Article of the Illinois Constitution. Removes the requirement for each Legislative District to be divided into two Representative Districts. Modifies provisions concerning legislative redistricting. Provides specifie...,Intro,https://legiscan.com/IL/bill/HJRCA0015/2019,2019-04-10,To House Rules Committee
IL,SJRCA0004,Proposes to amend the Legislature Article of the Illinois Constitution. Removes the requirement for each Legislative District to be divided into two Representative Districts. Modifies provisions concerning legislative redistricting. Provides specifie...,Intro,https://legiscan.com/IL/bill/SJRCA0004/2019,2019-03-19,To Senate Assignments Committee
TN,SB0934,"As introduced, imposes public notice and public input requirements on a redistricting committee and upon consideration of a final redistricting plan. - Amends TCA Title 2, Chapter 16, Part 1 and Title 3.",Intro,https://legiscan.com/TN/bill/SB0934/2019,2019-02-11,To Senate Judiciary Committee
